"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Entering the DemoWebshop","1","0","Clicking the  logout  link","0"
"0","","0","","5","0","","0"
"0","","0","Login with multiple values","3","0","login with different values","0"
"0","","0","Entering the DemoWebshop","1","0","Clicking the  Register link to enter details","0"
"0","","0","Search a product","1","0","searching a product in DemoWebShop","0"
"0","","0","Add product to cart","1","0","Search for a product","0"
