"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"8","","0","","4","0","","0"
"0","","0","Hotel Search and Filtering","6","0","Filter result by Property","0"
"2","","0","Login With multiple Data","0","0","login with valid crdentials","0"
"1","","0","Register and signIn into the Application","2","0","Trying to register and sign into the account","0"
"1","","0","Hotel Search and Filtering","3","0","Filter result by properties","0"
"0","","0","Cross-Browser Testing","2","0","Verify Booking.com website across different browsers","0"
"0","","0","Responsive Design Testing","1","0","Verify the website layouton different screen sizes","0"
"1","","0","Booking.com UI Testing","0","0","Validate search functionality","0"
